isbn13,description,loanCnt,keyword
9788993828771,"지구에는 수많은 동물들이 숲에서, 초원에서, 바다에서 더불어 살아가고 있지요. 우리가 자연을 지켜 주지 않으면 귀여운 판다도, 큰 고래도, 멋진 무늬를 가진 구름무늬표범도 영영 만날 수 없게 될지 모릅니다. 동물들을 만나 맘 놓고 살아갈 수 있는 아름다운 지구를 만들어야 하는 이유를 알아보세요.",786,
9791165953478,,1769,
9791165953522,,1580,
9788993828900,"“꼭꼭 숨어라, 어디 어디 숨었니?” 동물들이 모여 숨바꼭질을 하고 있습니다. 동물들은 모두 어디에 숨었을까요? 동물들이 숨은 곳은 평소에 동물들이 안심하고 쉴 수 있는 곳입니다. 숨은 곳을 찾다보면 동물들이 살아가는 환경을 알 수 있을 것입니다. 나무 틈에 숨은 아기 여우, 나무 구멍에 숨은 가면 올빼미...",807,
9788994730325,,145,
9788960162754,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,285,
9791165951306,,2616,
9788994730608,,311,
9788959042425,,286,
9788994730134,,178,
9788994730141,,221,
9788994730059,,243,
9788993828726,배고픈 사자가 초원에 어슬렁어슬렁 나타나면 풀을 먹고 사는 동물들은 귀를 쫑긋 세우고 바짝 긴장합니다. 언제 잡아먹힐지 모르기 때문이지요. 초원에는 풀을 먹는 동물들과 그들을 쫓는 맹수들이 함께 살아가는 곳입니다. 초원에는 또 어떤 동물들이 사는지 알아보세요.,657,
9791165951214,,2897,
9791165953409,,1236,
9788960162723,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,556,
9788959042319,,302,
9788960163041,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,445,
9788993828870,"생생한 사진으로 생태를 배울 수 있는「사진으로 보는 동물원 재미 Zoo」 시리즈 『나비가 된 애벌레』. 이 시리즈는 아이들이 가지고 있는 동물, 곤충에 대한 호기심을 채우고 관련 지식을 습득할 수 있습니다. 실제 사진으로 관찰할 수 있어 교육적 목적으로 활용하기에도 좋습니다. 아이들을 재밌고 신기한...",837,
9791165951320,,2606,
9791128212109,,970,
9791165951436,,2302,
9788994730363,,203,
9791165951559,,2411,
9788994730103,,198,
9788959042531,,395,
9791165951313,,2516,
9788959042449,,386,
9788959042524,,217,
9788994730530,,202,
9788960163195,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,641,
9788959042500,,289,
9788994730493,,136,
9788994730349,,165,
9788993828672,"우리 주변에는 사랑스러운 아기 동물들이 많이 살고 있습니다. 졸졸졸 따라다니는 강아지, 싱싱한 풀을 좋아하는 아기 양, 모두 꼭 안아 주고 싶을 만큼 귀여운 동물들이지요. 책을 보면서 삐악삐악 병아리 울음소리를 흉내 내고, 뒤뚱뒤뚱 아기 오리 걸음걸이를 흉내 내면 아기 동물들의 모습과 더욱 가까워질...",1076,
9791128212246,,938,
9788960162389,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,483,
9788993828689,"많은 사람들이 강아지와 함께 살고 있습니다. 순하고 영리해서 사람들을 잘 따르기 때문이지요. 강아지는 귀가 밝고, 냄새를 잘 맡으며, 달리기도 무척 잘합니다. 강아지의 행동을 자세히 관찰해 보면 강아지가 지금 무엇을 하고 싶은지 알 수 있습니다. 귀여운 강아지들의 모습을 만나 무엇을 말하고 싶은지...",1051,
9788959042487,,226,
9791165953591,,1500,
9791165953645,,974,
9788960162891,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,482,
9788994730578,,307,
9788960162914,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,379,
9791165953430,,1343,
9791186298114,"재미있는 이야기를 통해 다양한 탈것들을 배우는 「타GO타GO」 시리즈 『조그만 트럭의 커다란 꿈』. 호기심이 왕성한 아이들에게 '탈것'에 대한 사물을 인지하고, 배울 수 있도록 안내합니다. 각각의 탈것들은 어떤 생김새를 하고 있는지, 또 어떤 역할을 하고 있는지 관련 지식도 함께 익히게 됩니다.",1011,
9788959042562,,360,
9788994730202,,145,
9791165951382,,2824,
9788993828795,"물가에 사는 새들은 펠리컨, 백로, 캐나다기러기처럼 흰색이나 검은색 깃털로 덮인 수수한 모습이지요. 물가에 사는 새들은 또 황새나 홍학처럼 좋아하는 물고기를 잘 잡기 위해 부리가 깁니다. 펠리컨이나 앨버트로스는 발가락에 물갈퀴가 있어 헤엄도 아주 잘 치지요. 어떤 새들이 물가에서 사는지 찾아보세요.",372,
9791165951528,,2214,
9788960162303,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,577,
9788959042470,,288,
9791165953713,,680,
9788960162600,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,309,
9791165951283,,3609,
9788960162747,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,322,
9788994730417,,189,
9791165953454,,1875,
9788993828931,"생생한 사진으로 생태를 배울 수 있는「사진으로 보는 동물원 재미 Zoo」 시리즈 『동물들의 소리』. 이 시리즈는 아이들이 가지고 있는 동물, 곤충에 대한 호기심을 채우고 관련 지식을 습득할 수 있습니다. 실제 사진으로 관찰할 수 있어 교육적 목적으로 활용하기에도 좋습니다. 아이들을 재밌고 신기한...",505,
9788994730097,,205,
9791165951184,,2569,
9788960163225,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,479,
9788994730295,,270,
9788968737091,,87,
9788959042418,,377,
9788994730011,,310,
9788994730257,,164,
9788994730189,,197,
9788960163119,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,222,
9791165953768,,1174,
9788994730387,,227,
9788960162761,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,930,
9788993828917,"생생한 사진으로 생태를 배울 수 있는「사진으로 보는 동물원 재미 Zoo」 시리즈 『아, 기분 좋아!』. 이 시리즈는 아이들이 가지고 있는 동물, 곤충에 대한 호기심을 채우고 관련 지식을 습득할 수 있습니다. 실제 사진으로 관찰할 수 있어 교육적 목적으로 활용하기에도 좋습니다. 아이들을 재밌고 신기한...",765,
9788960163232,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,312,
9788960163102,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,411,
9791165953447,,1809,
9791165951542,,2741,
9788994730592,,243,
